sexo_m,age_group,ingreso_promedio,tasa_ocupacion
0,30-34,270750.57421489025,0.6603560367857396
0,35-39,280506.25739970617,0.6494877146842155
0,40-44,288871.54770927725,0.7287019844464213
0,45-49,298411.1311515002,0.6689387767729161
0,50-54,335788.72100381803,0.6312515010602464
0,55-59,288128.61222564237,0.5604366406418723
0,60-64,250766.70064251494,0.34051328025540356
0,65-69,265548.24176594254,0.16637155244653332
1,30-34,359794.3629133004,0.8701946488440162
1,35-39,367562.1527437984,0.8598787032951245
1,40-44,407379.9571804098,0.8823645529806953
1,45-49,394047.6271252397,0.8624855658390859
1,50-54,473213.23569485504,0.8645500685665573
1,55-59,410159.38826503104,0.7665662806768574
1,60-64,400188.3880209918,0.7118323249927936
1,65-69,309105.9088274404,0.34769185434074995
