sexo_m,age_group,causa,deaths
1,30-34,cerebrovascular,58
1,30-34,cvd,175
1,35-39,cerebrovascular,90
1,35-39,cvd,322
1,40-44,cerebrovascular,143
1,40-44,cvd,528
1,45-49,cerebrovascular,239
1,45-49,cvd,863
1,50-54,cerebrovascular,368
1,50-54,cvd,1352
1,55-59,cerebrovascular,538
1,55-59,cvd,2243
1,60-64,cerebrovascular,900
1,60-64,cvd,3255
1,65-69,cerebrovascular,1111
1,65-69,cvd,4562
0,30-34,cerebrovascular,44
0,30-34,cvd,77
0,35-39,cerebrovascular,60
0,35-39,cvd,135
0,40-44,cerebrovascular,119
0,40-44,cvd,245
0,45-49,cerebrovascular,179
0,45-49,cvd,335
0,50-54,cerebrovascular,223
0,50-54,cvd,543
0,55-59,cerebrovascular,323
0,55-59,cvd,867
0,60-64,cerebrovascular,468
0,60-64,cvd,1467
0,65-69,cerebrovascular,676
0,65-69,cvd,2233
