env_group,ghg_kg_co2eq,land_m2,water_l,eutro_g_po4eq
Beef,78545641.69744612,482883943.81452155,250950734.54129073,81616079.68219848
Coffee_OWID,7560918.1373580005,5729654.753932,6863924.98274,29289613.478471998
Oil crops,2205865.866214483,13722537.656101724,14107281.702534484,23546335.64168483
Pork,2023661.5442011901,8907724.475814166,215619330.69397232,14752854.025359567
Dairy products,1789619.3786279997,4678127.849396,39246039.004999995,18806701.891196
Cereals (without rice),1513234.4311418894,8488876.077137427,802752411.6423438,7197090.587138255
Poultry,1466649.181718353,10177656.442833418,111109786.49381462,24207118.81745241
Vegetables (outdoor),1328397.339813441,1875384.4797366224,546987139.9231815,2383301.109665291
Mate_yerba,1262748.56688,2209809.99204,47353071.258,3683016.6534
Sugars_OWID,1195207.05695325,923243.77453275,199869156.150785,5327140.43548225
Beer,1175268.11555,805104.92955,76068534.723,2572634.1426999997
Baked products,1068324.0122206758,8200515.305074203,16551498.78088371,6951629.487971159
Lamb and mutton,1040051.9399117876,3712811.1151040914,5507336.487404402,10251484.023370741
Fruits,940822.8402547059,2090717.4227882354,1249203660.1159706,52267935.56970588
Soft_drinks_carbonated,755123.09849875,294682.18478,32230863.9603125,1510246.1969975
Rice,728675.9736445519,780724.2574763056,194313592.9718805,4337356.985979476
Fish and seafood,428486.9549902346,2341.4587704384403,0,573657.3987574179
Pasta,417060.57441357797,3201380.465569014,6461501.857111772,2713830.779986944
Eggs,369926.84085720003,1737535.161602,15974113.58247,3382588.6129897
Nuts and seeds,160554.56694,26359.70502,68055965.688,289157.97628
Flavoured_water_drink,156052.0233,62420.80932,6242080.932,286095.37605
Ice_cream,134370.562375,318101.73949999997,15356635.7,778800.8104999999
Confectionery_candy,120436.886325,143377.245625,10323161.685,430131.736875
Spirits_distilled,85733.8251,36743.0679,2510776.3065,156158.03857499998
Other meats,35132.85011930163,125418.38673873598,186037.2736624584,346294.10116195434
Wine_OWID,15486.547475000001,15400.03045,682619.3272500001,39538.280425000004
Tea_infusions,9659.19318,5201.104020000001,282345.6468,34364.437275000004
Legumes and pulses,9504.573520338698,185771.20971571092,1425686.0280508047,108006.51727657612
Starchy vegetables,4765.371724285715,12096.71283857143,1869491.9841428571,43988.04668571428
