sexo_m,age_group,grams_total,grams_mapped,mapped_grams_pct,energia_kcal_total,energia_kcal_mapped,mapped_energy_pct,ghg_kg_co2eq,land_m2,water_l,eutro_g_po4eq
0,30-34,1463701786.3664064,1458903125.6164064,99.67215584522087,1800117344.502206,1789891223.784706,99.43191921633709,7127670.897089733,37034544.27062085,295534520.2552353,21250625.391857367
0,35-39,1536530091.94864,1531557327.44864,99.67636400184695,1929919981.002356,1918974523.522356,99.43285433656605,7948642.990362488,42430531.432512335,325287470.8593743,22495793.70491987
0,40-44,1257998713.215317,1254539533.915317,99.72502521157922,1513349439.9365065,1504482543.8395066,99.41408799164243,6155415.494434571,32689401.47216351,269155544.51117307,18399733.455882862
0,45-49,1074110061.0591002,1071042464.4591002,99.71440574749154,1235434138.0519028,1228753735.8179028,99.45926682546316,4870358.337444227,23782177.921944026,218869338.20308754,15187948.766081067
0,50-54,1090146234.1742084,1087055562.7742085,99.71649020075357,1272547430.6208518,1265229914.0728517,99.42497101703864,5000518.806256203,26408212.015482385,226696969.50592,15199396.827523367
0,55-59,1060619456.3864524,1057470257.6864525,99.70307930134251,1166207771.3642106,1159281692.0162108,99.40610245291901,5428627.610880808,26792137.661982436,230578779.04296985,16734131.132917156
0,60-64,916435293.2784562,913532781.7784562,99.68328243998369,1060048429.6955885,1053665225.0705885,99.3978383962294,5639162.805259554,26570610.618262663,185485525.0339063,16652941.980368916
0,65-69,720654950.7077243,718906866.2077243,99.75743113978703,793830274.0554916,789562456.6004915,99.46237658168454,3916733.9810968456,20293003.65850463,156309391.8049823,11851004.097690837
1,30-34,1846564039.5150838,1842918214.0150838,99.80256165386187,2173940687.14143,2165219523.28643,99.59883156396195,11633519.273349585,62093846.43936696,363213714.64693487,30948698.34362905
1,35-39,1780604853.5722063,1776465329.5722063,99.76752146936501,2092863663.9170284,2083770129.5170283,99.56549800367881,10057351.243040737,53038323.801551305,369588807.3998596,27752201.205843907
1,40-44,1467262125.3107338,1464709725.910734,99.8260433936125,1579690377.3005917,1573059782.8315916,99.58025986837175,8210884.991289281,43630465.816640146,285778983.81150043,22653431.350968223
1,45-49,1315545664.8495986,1311904599.8495986,99.72322777556975,1493405748.2743516,1486577005.9793515,99.5427403233923,7293777.054044445,39203437.944813035,259957220.76090232,20973241.40773288
1,50-54,1080491962.6184812,1078166545.258481,99.7847816142598,1199602869.3937893,1194612733.7853892,99.58401769988082,6066346.164267671,32910213.608818796,202507776.74641252,15571181.007882223
1,55-59,1113414216.423747,1111028954.2237473,99.78577045588108,1244231714.9373853,1238314679.7633853,99.52444266586647,6859852.995387783,36581447.185226455,234780141.1568178,18146273.497785356
1,60-64,709621663.9636228,707757789.8636228,99.73734255947186,836971935.8960087,832891151.7770088,99.51243477302124,5002277.523028445,27853329.79533642,150498401.18886718,11418572.555542309
1,65-69,725526253.6653225,723698804.1653225,99.74812083080829,845146144.3240534,840759844.0490533,99.48100097190786,5336239.783522758,30041977.984661996,163862194.5161587,12647976.114986744
