scenario_model,replacement_target,indicator,replacement_added_per_unit_reduction
isocaloric_replacement,NDG_ARG,eutro_g_po4eq,56493111.370634116
isocaloric_replacement,NDG_ARG,ghg_kg_co2eq,10578499.29603775
isocaloric_replacement,NDG_ARG,land_m2,41898632.47968626
isocaloric_replacement,NDG_ARG,water_l,2022580289.6644635
isocaloric_replacement,NOVA1,eutro_g_po4eq,101376941.2428983
isocaloric_replacement,NOVA1,ghg_kg_co2eq,21704791.7862397
isocaloric_replacement,NOVA1,land_m2,85292052.40589325
isocaloric_replacement,NOVA1,water_l,1738813578.7626245
isocaloric_replacement,NOVA1_NOVA3_mix,eutro_g_po4eq,50826286.64695935
isocaloric_replacement,NOVA1_NOVA3_mix,ghg_kg_co2eq,10450411.305070471
isocaloric_replacement,NOVA1_NOVA3_mix,land_m2,41325767.19562584
isocaloric_replacement,NOVA1_NOVA3_mix,water_l,868562410.0184478
isocaloric_replacement,NOVA3,eutro_g_po4eq,15992495.854415251
isocaloric_replacement,NOVA3,ghg_kg_co2eq,2695165.832695619
isocaloric_replacement,NOVA3,land_m2,11029178.690858655
isocaloric_replacement,NOVA3,water_l,268883782.880809
isoweight_replacement,NDG_ARG,eutro_g_po4eq,94247871.29014635
isoweight_replacement,NDG_ARG,ghg_kg_co2eq,19752095.616179947
isoweight_replacement,NDG_ARG,land_m2,100229973.3339782
isoweight_replacement,NDG_ARG,water_l,1382486305.2971773
isoweight_replacement,NOVA1,eutro_g_po4eq,90524789.75314555
isoweight_replacement,NOVA1,ghg_kg_co2eq,19381347.365545902
isoweight_replacement,NOVA1,land_m2,76161748.5889439
isoweight_replacement,NOVA1,water_l,1552677874.3526926
isoweight_replacement,NOVA1_NOVA3_mix,eutro_g_po4eq,57617309.822150566
isoweight_replacement,NOVA1_NOVA3_mix,ghg_kg_co2eq,11393116.67952755
isoweight_replacement,NOVA1_NOVA3_mix,land_m2,45337607.1005759
isoweight_replacement,NOVA1_NOVA3_mix,water_l,981240562.1314547
isoweight_replacement,NOVA3,eutro_g_po4eq,34941198.49206681
isoweight_replacement,NOVA3,ghg_kg_co2eq,5888532.04568784
isoweight_replacement,NOVA3,land_m2,24097096.87280432
isoweight_replacement,NOVA3,water_l,587470630.8798145
