sexo_m,age_group,pct_upf_mean,pct_upf_sd,n,pct_upf_se,pct_upf_ci_lo,pct_upf_ci_hi
0,30-34,18.394739143082834,15.91334753168613,437,0.7612386474738578,16.90271139403407,19.886766892131597
0,35-39,16.211149573897515,14.970591735591489,415,0.7348774455874647,14.770789780546085,17.651509367248945
0,40-44,16.643765044505166,15.068825970239805,386,0.7669830474874215,15.14047827142982,18.14705181758051
0,45-49,16.454743963614096,13.2697817298051,335,0.7250056245930441,15.03373293941173,17.875754987816464
0,50-54,17.707262952718082,14.926698439086712,310,0.8477795024716488,16.04561512787365,19.368910777562515
0,55-59,17.791145915185222,18.474415311008652,259,1.1479443118810433,15.541175063898377,20.041116766472065
0,60-64,17.39906496002044,14.399817390119257,251,0.908908414227369,15.617604468134797,19.18052545190608
0,65-69,17.640231106033326,15.736204239411663,213,1.0782269480385012,15.526906287877864,19.753555924188788
1,30-34,20.05373909860162,18.113297389930732,326,1.0032027581885075,18.087461692552147,22.020016504651096
1,35-39,15.734848229238837,13.774970721727923,316,0.7749026447313153,14.21603904556546,17.253657412912215
1,40-44,15.082332762612273,13.305025599667431,245,0.8500269052351793,13.416280028351322,16.748385496873226
1,45-49,15.588015923379498,13.682619566550411,216,0.930984341185268,13.763286614656373,17.412745232102623
1,50-54,14.839213949353246,13.625052976633059,201,0.9610371382909273,12.955581158303028,16.72284674040346
1,55-59,12.90260255678604,14.651564544815596,221,0.9855708858778417,10.97088362046547,14.834321493106609
1,60-64,14.677330188119585,15.27564757321805,172,1.1647572079102373,12.39440606061552,16.96025431562365
1,65-69,15.704433708257266,18.237978242332687,191,1.3196537908027648,13.117912278283846,18.290955138230686
