env_group,source,source_detail,ghg_kg_co2eq_per_kg,land_pt_per_kg,water_m3depriv_per_kg,eutro_kg_p_eq_per_kg,energy_mj_per_kg,n_products,unit_ghg,unit_land,unit_water,unit_eutro,unit_energy
AGB_boisson_alcoolisees,Agribalyse3.1_synthese_median,group=boissons; subgroup=boisson alcoolisees,1.33,22.7,0.2625,1.39e-4,22.65,42,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_boissons_sans_alcool,Agribalyse3.1_synthese_median,group=boissons; subgroup=boissons sans alcool,0.566,18.8,0.514,1.01e-4,10.4,95,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_eaux,Agribalyse3.1_synthese_median,group=boissons; subgroup=eaux,0.160671,0.805585,0.05283499999999999,2.37545e-5,3.4848149999999998,2,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_desserts_glaces,Agribalyse3.1_synthese_median,group=glaces et sorbets; subgroup=desserts glaces,2.22,67.7,0.666,2.7e-4,38,12,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_glaces,Agribalyse3.1_synthese_median,group=glaces et sorbets; subgroup=glaces,1.96,72.2,0.6295,2.75e-4,34.15,10,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_sorbets,Agribalyse3.1_synthese_median,group=glaces et sorbets; subgroup=sorbets,1.21,61.9,6.69,1.88e-4,33.5,3,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_chocolats,Agribalyse3.1_synthese_median,group=produits sucres; subgroup=chocolats et produits a base de chocolat,10.8,463,1.19,0.0013349999999999998,46.85,30,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_confiseries,Agribalyse3.1_synthese_median,group=produits sucres; subgroup=confiseries non chocolatees,1.52,57.6,2.3,4.39e-4,23.9,9,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_confitures,Agribalyse3.1_synthese_median,group=produits sucres; subgroup=confitures et assimiles,1.75,78.6,4.5,2.91e-4,34.2,7,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
AGB_sucres_miels,Agribalyse3.1_synthese_median,group=produits sucres; subgroup=sucres miels et assimiles,1.04,37.9,1.9,2.74e-4,9.66,7,kg CO2-eq / kg product,Pt / kg product,m3 depriv. / kg product,kg P-eq / kg product,MJ / kg product
